cohort,outcome,predictor_type,predictor,status,reason,outcome_col,n_total,n_used,pearson,spearman,beta_predictor,SE_beta_predictor,p_value_beta_predictor,r2,source_data
nlsy79,sat_math_2007,subtest,NO,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,subtest,CS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,subtest,AR,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,subtest,MK,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,subtest,WK,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,subtest,PC,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,subtest,GS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,subtest,AS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,subtest,MC,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,subtest,EI,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,factor,speed,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,factor,math,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,factor,verbal,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_math_2007,factor,technical,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,NO,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,CS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,AR,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,MK,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,WK,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,PC,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,GS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,AS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,MC,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,subtest,EI,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,factor,speed,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,factor,math,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,factor,verbal,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,sat_verbal_2007,factor,technical,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,NO,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,CS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,AR,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,MK,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,WK,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,PC,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,GS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,AS,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,MC,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,subtest,EI,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,factor,speed,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,factor,math,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,factor,verbal,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,act_2007,factor,technical,not_feasible,missing_outcome_column,,9261,0,,,,,,,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,NO,computed,,annual_earnings,9261,7390,0.2940249078199073,0.29102870578442147,4349.595931925968,164.50055035044855,2.7715395379643725e-147,0.08645064641850497,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,CS,computed,,annual_earnings,9261,7390,0.2323278534682335,0.22913873131924772,3443.954027799135,167.74270661590737,3.8256223290165003e-91,0.053976231497157134,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,AR,computed,,annual_earnings,9261,7390,0.37204253854081903,0.3583210289898399,5562.340302894776,161.45459655711753,2.4365931972497126e-241,0.13841565048389715,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,MK,computed,,annual_earnings,9261,7390,0.37556519180112263,0.36017167609038225,5569.597766073608,159.9039511754729,2.961095219841367e-246,0.14104921329261433,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,WK,computed,,annual_earnings,9261,7390,0.3053647706337843,0.3112034630158599,4535.6060977972675,164.54977841203925,2.7893669060100753e-159,0.09324764314422374,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,PC,computed,,annual_earnings,9261,7390,0.2769571892281833,0.28153713376918377,4098.392849403381,165.4274874571148,3.1031080266453814e-130,0.07670528466517557,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,GS,computed,,annual_earnings,9261,7390,0.35410276094580995,0.34471261516330504,5268.454687371218,161.8817977193131,3.040357647889937e-217,0.12538876530944554,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,AS,computed,,annual_earnings,9261,7390,0.34293873068430125,0.3526396554226477,5184.8355813712005,165.22891200015061,5.1013235002055887e-203,0.11760697300335976,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,MC,computed,,annual_earnings,9261,7390,0.35506690167656185,0.3580428257810133,5336.411723666835,163.46071616697233,1.6868827982245684e-218,0.12607250466619335,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,EI,computed,,annual_earnings,9261,7390,0.3615614865723986,0.3639429830710967,5412.700582073961,162.3852450048339,4.493608668343555e-227,0.13072670857244284,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,factor,speed,computed,,annual_earnings,9261,7390,0.2830714613492628,0.27981990802111095,4508.200585446637,177.70803213462108,3.3233420087711153e-136,0.08012945223040724,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,factor,math,computed,,annual_earnings,9261,7390,0.39081516986561016,0.37696657758750096,6083.9954107710255,166.71062165649244,2.990201301667082e-268,0.15273649699708625,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,factor,verbal,computed,,annual_earnings,9261,7390,0.306721491487613,0.3118612940470051,4790.739616913537,172.9578595144768,9.411587578362477e-161,0.09407807334038587,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,factor,technical,computed,,annual_earnings,9261,7390,0.3954859932761724,0.3970432916086623,6637.379536495664,179.33622621113517,3.17152027826757e-275,0.15640917087764072,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,NO,computed,,household_income,9261,4736,0.3600561779168489,0.42815472387329573,19803.316045446034,745.7665051689927,5.944813362715366e-145,0.1296404512560897,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,CS,computed,,household_income,9261,4736,0.3171745289809219,0.39483419902831124,17405.929707889045,756.4170567788183,3.7070372282238856e-111,0.1005996818342697,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,AR,computed,,household_income,9261,4736,0.3897022366178735,0.4649118235314818,21193.574988596214,727.928901964425,1.4003817545136197e-171,0.15186783322497321,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,MK,computed,,household_income,9261,4736,0.41221880913476106,0.4766748588058577,22326.434356935377,717.1933870620123,1.0006157394060975e-193,0.16992434660448064,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,WK,computed,,household_income,9261,4736,0.3691167358079478,0.45691197547417794,20144.417903962236,737.1767035071002,8.520659295074787e-153,0.13624716465351439,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,PC,computed,,household_income,9261,4736,0.3510165059893205,0.43539163542462894,19071.61559422012,739.4230283106027,2.2343353140959697e-137,0.12321258747695063,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,GS,computed,,household_income,9261,4736,0.3554276638481722,0.43409234445895745,19165.008876076932,732.5169437144601,4.826741467147534e-141,0.1263288242285694,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,AS,computed,,household_income,9261,4736,0.22751333037536473,0.31561406731696673,12559.184796947375,781.2662824551919,1.1713060780542045e-56,0.051762315498489864,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,MC,computed,,household_income,9261,4736,0.29858818652149605,0.3881380740887002,16409.162671886173,762.2930047470843,3.921810063285203e-98,0.08915490513019586,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,EI,computed,,household_income,9261,4736,0.3192055377554636,0.39227509337459715,17374.024714220675,749.6872608434613,1.224448554403303e-112,0.10189217533375472,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,factor,speed,computed,,household_income,9261,4736,0.36584719275938615,0.4409558898558085,21717.333222967438,802.9539856778541,6.169125641083224e-150,0.13384416844992364,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,factor,math,computed,,household_income,9261,4736,0.418841309085963,0.49217756242847965,23743.948828630397,748.1756904721086,1.4283274073631746e-200,0.17542804219684327,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,factor,verbal,computed,,household_income,9261,4736,0.3794740634814361,0.4696113460468833,21778.601765704305,771.739106800262,4.459643541222476e-162,0.14400056485511303,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,factor,technical,computed,,household_income,9261,4736,0.33604538484170715,0.4295910791285309,20521.852123244586,835.9576844851997,2.2781022721660927e-125,0.11292650067341115,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,NO,computed,,net_worth,9261,4849,0.28693296561353687,0.4348063508415749,91904.29727758624,4407.192337057379,1.4812199912652281e-92,0.08233052675577901,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,CS,computed,,net_worth,9261,4849,0.2548174263304651,0.40516209957520455,81928.17558257862,4465.697125398749,9.777850879143777e-73,0.06493192076168208,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,AR,computed,,net_worth,9261,4849,0.30666862639203535,0.4526055342407209,99758.1908317277,4447.294247651495,4.1572958599187754e-106,0.09404564641317781,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,MK,computed,,net_worth,9261,4849,0.31353378208073324,0.45220816043168527,101271.08252081898,4405.495981212135,4.47711625283126e-111,0.09830343250584872,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,WK,computed,,net_worth,9261,4849,0.2625102122977486,0.4401489014050571,84250.02047209331,4448.184140280343,3.078257958615508e-77,0.06891161156060921,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,PC,computed,,net_worth,9261,4849,0.26028725755449245,0.4263073437027272,83335.7726823926,4440.259699890756,6.380727676323232e-76,0.06774945644523866,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,GS,computed,,net_worth,9261,4849,0.27232486102329506,0.42053620521531093,87161.83043436448,4423.543648070812,3.325754739825273e-83,0.07416082993135709,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,AS,computed,,net_worth,9261,4849,0.17664362505229592,0.3448660235299129,57384.2417299864,4592.768635983264,2.7831267429240643e-35,0.031202970271616004,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,MC,computed,,net_worth,9261,4849,0.23176728240677744,0.40499787118407393,75251.73843529937,4536.685053543365,3.8069911367915765e-60,0.053716073194223,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,subtest,EI,computed,,net_worth,9261,4849,0.24621421724313317,0.39846280927887046,79315.20343958067,4484.635262258339,7.011169230040002e-68,0.06062144077264864,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,factor,speed,computed,,net_worth,9261,4849,0.291724984172166,0.449094399603571,100811.04719080136,4747.707800897919,9.511491974178975e-96,0.08510346639025046,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,factor,math,computed,,net_worth,9261,4849,0.32404733003225233,0.47278222411588944,109757.40821460378,4602.552856148159,6.068654051322348e-119,0.10500667210103143,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,factor,verbal,computed,,net_worth,9261,4849,0.2754816534183026,0.45598847299571676,93064.69825814829,4664.634118476376,3.5412576683403697e-85,0.07589014137008188,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,factor,technical,computed,,net_worth,9261,4849,0.25896899377448684,0.4399199772938002,93381.65037242923,5002.682872062017,3.7983864748371894e-75,0.06706493973657024,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,NO,computed,,education_years,9261,9258,0.46641699103762213,0.4585367217854567,1.1795581554042405,0.023252146988557893,0.0,0.21754480952858946,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,CS,computed,,education_years,9261,9258,0.4171963787166061,0.4087913351903912,1.0550370730882621,0.0238886526322182,0.0,0.17405281841425002,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,AR,computed,,education_years,9261,9258,0.4923556735776689,0.48164179757992437,1.244955313982678,0.022875947037254103,0.0,0.24241410930411977,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,MK,computed,,education_years,9261,9258,0.5769841411618691,0.5640839120124971,1.4588735721417636,0.021465158280701717,0.0,0.3329106991523,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,WK,computed,,education_years,9261,9258,0.5130349588926157,0.504591508999736,1.2971982257998833,0.022559064559483664,0.0,0.26320486904594764,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,PC,computed,,education_years,9261,9258,0.4895603412362309,0.4867389910250128,1.2377939288317232,0.022915624738464764,0.0,0.23966932771133487,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,GS,computed,,education_years,9261,9258,0.4864808933577376,0.46476273013575004,1.2300042558947113,0.022960805645828964,0.0,0.23666365960214242,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,AS,computed,,education_years,9261,9258,0.18283672581480426,0.16660861029980625,0.46242407825933984,0.025845334139182004,2.0729780148063977e-70,0.03342926830667792,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,MC,computed,,education_years,9261,9258,0.32199664765666397,0.3072484438866432,0.8141382821673591,0.02488090945738197,2.5438969293870716e-222,0.10368184110212986,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,subtest,EI,computed,,education_years,9261,9258,0.3452156586846917,0.3278323344689264,0.8727948078548212,0.02466352194561456,2.1484298241715735e-257,0.11917385100110534,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,factor,speed,computed,,education_years,9261,9258,0.47630872820745607,0.46541489261754543,1.2986179017704946,0.024917670241732696,0.0,0.22687000456660456,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,factor,math,computed,,education_years,9261,9258,0.5598206098358071,0.5468821022784388,1.4820931173607317,0.022801694039562843,0.0,0.31339911519693486,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,factor,verbal,computed,,education_years,9261,9258,0.5294560435898468,0.5257497050052743,1.4138883181386046,0.02354735455763071,0.0,0.2803237020938141,data/processed/nlsy79_cfa_resid.csv
nlsy79,education,factor,technical,computed,,education_years,9261,9258,0.37416747506384784,0.3530837978686403,1.0594228117428404,0.027292323558616827,1.5891264782778301e-305,0.1400012993956553,data/processed/nlsy79_cfa_resid.csv
nlsy97,sat_math_2007,subtest,NO,computed,,sat_math_2007_bin,6992,2013,0.3486894692950363,0.34014968315536603,0.4410235069454025,0.0264342446350957,1.2491460385077295e-58,0.1215843459972541,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,subtest,CS,computed,,sat_math_2007_bin,6992,2013,0.28786515130030554,0.286892988812579,0.35384039920501614,0.026249957432100644,1.034296226920467e-39,0.08286634533314796,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,subtest,AR,computed,,sat_math_2007_bin,6992,2013,0.531594082523295,0.5614814983085719,0.70167585462799,0.024930637583106076,3.139206668128972e-147,0.2825922685737837,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,subtest,MK,computed,,sat_math_2007_bin,6992,2013,0.5069899676142691,0.5222985550565501,0.6898339989122575,0.026153044528027365,6.323987416226824e-132,0.2570388272615176,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,subtest,WK,computed,,sat_math_2007_bin,6992,2013,0.44017510195158693,0.44008013687021297,0.5637093148092577,0.025642328319212846,3.6202690476870547e-96,0.19375412037809014,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,subtest,PC,computed,,sat_math_2007_bin,6992,2013,0.4133062251101214,0.43393062972767227,0.5440830754430138,0.026730747949622765,6.810543311260736e-84,0.1708220357147784,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,subtest,GS,computed,,sat_math_2007_bin,6992,2013,0.44557453535712166,0.4452604897656029,0.5629056027583281,0.025220343789903,9.02425929851108e-99,0.19853666655871494,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,subtest,AS,computed,,sat_math_2007_bin,6992,2013,0.3133821909585163,0.33821651080248394,0.41913137107189535,0.028321934470776182,4.0871214326104374e-47,0.09820839760996014,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,subtest,MC,computed,,sat_math_2007_bin,6992,2013,0.41619121316823904,0.43642251765171686,0.5561940891711493,0.02709715454526551,3.698664281479869e-85,0.1732151259184509,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,subtest,EI,computed,,sat_math_2007_bin,6992,2013,0.37938730557768896,0.39695051221007893,0.4857888141655706,0.02641874115612122,6.389852264249622e-70,0.1439347276334988,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,factor,speed,computed,,sat_math_2007_bin,6992,2013,0.3654057594091761,0.3595026531336353,0.5237384201238402,0.029751710438743285,1.2633990523671738e-64,0.13352136900939682,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,factor,math,computed,,sat_math_2007_bin,6992,2013,0.548279580789632,0.5720163870935561,0.775420105366758,0.026374759268821695,2.375424751218625e-158,0.30061049871085466,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,factor,verbal,computed,,sat_math_2007_bin,6992,2013,0.45652453543247246,0.4676435183821261,0.6337912895196174,0.0275438713557019,3.3836479802455675e-104,0.2084146514518349,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_math_2007,factor,technical,computed,,sat_math_2007_bin,6992,2013,0.4478175559360628,0.4659218467536874,0.671414997223869,0.029893867391525632,7.24497042786466e-100,0.20054056340454884,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,subtest,NO,computed,,sat_verbal_2007_bin,6992,1979,0.2594033092925798,0.24511585566775507,0.30881725759994316,0.025858064458701098,8.539399134341646e-32,0.067290076871942,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,subtest,CS,computed,,sat_verbal_2007_bin,6992,1979,0.261336705400181,0.2614278258100661,0.30027848902080684,0.024943606798102595,2.9147308518089094e-32,0.06829687358942116,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,subtest,AR,computed,,sat_verbal_2007_bin,6992,1979,0.4315271543187461,0.45126196802726093,0.5352524447165594,0.025165284990771242,1.4334341493352991e-90,0.18621568491443508,data/processed/nlsy97_cfa_resid.csv
